Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
121;1048,67;2425,15;2266,97;2992,5;
122;1042,24;2413,51;2300,09;2984,85;
123;1061,56;2435,18;2739,97;3002,29;
124;1056,7;2427,55;2571,45;2997,37;
125;1034,84;2398,64;2177,68;2973,68;
126;1052,19;2419,82;2594,31;2985,6;
127;1058,81;2428,66;2643,26;2988,65;
128;1051,8;2421,2;2431,07;2977,66;
129;1043,94;2413,11;2280,95;2963,45;
130;1065,01;2442,1;2677,4;2976,86;
131;1071,9;2454,35;2662,45;2978,23;
132;1065,67;2450,69;2425,17;2965,92;
133;1070,79;2461,48;2478,08;2963,28;
134;1072,27;2467,9;2444,44;2957,01;
135;1069,9;2469,49;2354,9;2946,15;
136;1056,95;2457,53;2114,47;2923,14;
137;1072,63;2481,31;2457,5;2927,04;
138;1085,23;2501,42;2605,26;2930,08;
139;1088,41;2509,61;2537,22;2925,14;
140;1092,32;2518,28;2517,98;2921,17;
141;1088,64;2516,77;2383,07;2909,9;
142;1114,66;2552,42;2811,64;2928,13;
143;1131,81;2567,75;2911,69;2940,86;
144;1137,69;2568,05;2793,16;2944,45;
145;1134,67;2567,54;2588,45;2939,65;
146;1120,27;2551,07;2283,65;2922,6;
147;1113,37;2542,43;2233,63;2911,12;
148;1121,89;2552,26;2459,75;2914,4;
149;1112,37;2538,27;2289,95;2901,16;
150;1103,36;2523,61;2211,24;2887,93;
151;1131,7;2631,32;2496,54;2905,17;
152;1114,83;2601,48;2244,25;2888,68;
153;1098,85;2572,78;2108;2871;
154;1081,54;2542,43;1993,69;2850,02;
155;1100,3;2558,06;2530,82;2864,06;
156;1106,46;2559,13;2624,43;2868,83;
157;1091,09;2533,68;2315,35;2852,92;
158;1070,15;2498,54;2049,2;2830,02;
159;1065,4;2482,2;2161,43;2821,19;
160;1064,14;2469,88;2271,85;2815,74;
161;1061,11;2455,55;2292,21;2808,49;
162;1055,42;2437,93;2256,02;2798,65;
163;1041,35;2409,72;2092,09;2780,16;
164;1064,04;2428,59;2614,16;2797,48;
165;1069,27;2427,24;2613,02;2800,41;
166;1080,36;2434,78;2712,73;2809,83;
167;1062,32;2406,79;2276,05;2790,82;
168;1047,34;2383,22;2068,26;2771,8;
169;1035,53;2364,49;1984;2753,43;
170;1064,26;2398,78;2602,67;2774,26;
171;1054,2;2386,1;2300,45;2760,01;
172;1055,25;2388,34;2318,89;2755,7;
173;1044,61;2376,71;2133,94;2739,94;
174;1044,39;2379,16;2197,54;2733,24;
175;1041,52;2379,52;2177,35;2723,69;
176;1044,73;2388,85;2256,33;2719,67;
177;1052,75;2405,2;2384,81;2721,38;
178;1041,62;2398,1;2133,68;2704,78;
179;1061,64;2430,84;2516,73;2718,41;
180;1087,71;2472,66;2840,76;2741,36;
181;1071,97;2462,38;2326,82;2725,49;
182;1058,45;2454,22;2068,45;2709,2;
183;1058,52;2462,67;2140,48;2704,67;
184;1086,31;2506,15;2647,4;2728,77;
185;1093,07;2520,41;2584,58;2735,76;
186;1079,22;2511,04;2210,8;2722,92;
187;1090,62;2529,06;2436,05;2734,47;
188;1111,34;2533,41;2728,64;2757,67;
189;1114,67;2535,3;2609,16;2766,38;
190;1107,14;2532,4;2361,82;2764,5;
191;1124,98;2549,87;2659,64;2788,09;
192;1121,62;2549,5;2482,71;2793,44;
193;1113,93;2541,71;2311,63;2794,19;
194;1116,23;2544,71;2384,86;2804,57;
195;1136,41;2569,81;2740,22;2834,73;
196;1154,88;2592,92;2932,72;2842,22;
197;1173,04;2603,03;3057,7;2842,67;
198;1164,88;2593,1;2058,02;2842,92;
199;1162,47;2589,33;2292,87;2843,24;
200;1151,83;2574,3;2264,92;2842,79;
201;1142,98;2560,6;2264,09;2842,98;
202;1129,9;2540,5;2185,48;2844,2;
203;1131,56;2538,04;2391,22;2844,63;
204;1143,39;2548,41;2693,28;2844,31;
205;1121,24;2515,77;2302,7;2840,94;
206;1097,93;2480,69;2062,77;2834,65;
207;1086,9;2460,62;2124,2;2838,84;
208;1082,35;2448,91;2258,22;2844,69;
209;1097,89;2463,48;2667,64;2845,51;
210;1107,95;2472,5;2813,99;2847,33;
211;1116,27;2480,28;2883,38;2849,45;
212;1092,07;2447,71;2376,92;2844,27;
213;1069,57;2417,36;2100,68;2837,13;
214;1082,29;2432,36;2515,67;2856,09;
215;1085,3;2436,82;2573,42;2859,02;
216;1097,98;2454,74;2770,23;2862,28;
217;1097,08;2456,55;2659,54;2866,73;
218;1105,79;2471,14;2768,28;2871,29;
219;1098,39;2466,26;2555,97;2875,64;
220;1099,59;2472,97;2568,68;2879,79;
221;1117,03;2501,09;2845,84;2883,75;
222;1121,5;2513,76;2786,66;2887,49;
223;1125,82;2526,44;2757,68;2891,05;
224;1107,54;2510,31;2360,25;2886,16;
225;1106,54;2515,17;2422,68;2896,35;
226;1087,2;2496,3;2137,96;2887,81;
227;1091,76;2506,81;2369,25;2900,97;
228;1096,77;2517,49;2508,98;2904,96;
229;1100,32;2525,76;2570,81;2907,46;
230;1111,33;2542,86;2743,21;2910,1;
231;1106,68;2539,74;2581,84;2912,64;
232;1083,86;2512,44;2181,81;2901,23;
233;1089,54;2520,09;2421,3;2915,35;
234;1072,28;2498,11;2158,46;2907,08;
235;1076,63;2502,39;2365,86;2918,54;
236;1067,81;2489,41;2256,2;2917,58;
237;1078,95;2500,85;2533,14;2924,83;
238;1096,84;2520,84;2811,36;2927,39;
239;1116,61;2543,76;3008,47;2930,02;
240;1124,98;2552,6;2941,35;2932,73;
241;1138,44;2568,13;2214,37;2935,5;
242;1117,61;2540,17;2057,43;2926,34;
243;1110,07;2528,22;2153,44;2926,89;
244;1108,81;2523,88;2288,18;2932,43;
245;1117,44;2531,92;2522,56;2945,23;
246;1123,74;2537,02;2622,28;2947,85;
247;1130,27;2542,34;2695,03;2950,79;
248;1122,43;2529,17;2508,4;2953,2;
249;1106,86;2505,78;2271,54;2947,08;
250;1109,12;2504,7;2430,6;2956,99;
251;1113,71;2507,01;2556,11;2961,38;
252;1125,17;2518,53;2748,37;2964,27;
253;1105,97;2491,53;2347,06;2954,87;
254;1088,07;2465,5;2141,19;2944,45;
255;1066,49;2434,39;1950,47;2928,02;
256;1049,95;2409,49;1906,67;2913,74;
257;1070,12;2431,58;2489,2;2934,94;
258;1051,08;2405,13;2156,86;2919,8;
259;1040,85;2389,61;2118,33;2911,41;
260;1034,28;2379,13;2149,57;2905,58;
261;1017,76;2356,69;1985,23;2888,64;
262;1034,56;2377,37;2437,12;2902,89;
263;1029,64;2372,36;2313,63;2896,94;
264;1055,03;2406,75;2757,03;2921,04;
265;1040,85;2392,63;2339,09;2908,03;
266;1031,61;2385,11;2174,87;2896,95;
267;1032,89;2391,51;2242,57;2894,22;
268;1057,56;2428,81;2660,86;2914,39;
269;1074,87;2458,29;2777,47;2929,97;
270;1079,26;2472,3;2630,87;2933,9;
271;1095,78;2501,77;2764,7;2950,28;
272;1113,79;2533,68;2873,34;2969,76;
273;1118,15;2527,87;2708,89;2976,77;
274;1118,61;2518,64;2549,89;2979,14;
275;1140,6;2518,53;2830;2990,78;
276;1157,37;2524,19;2917,07;2993,74;
277;1168,8;2531,45;2894,29;2995,81;
278;1180,09;2543,01;2608,02;2997,14;
279;1168,77;2538,88;2393,82;2993;
280;1146,5;2517,93;2083,95;2976,33;
281;1164,55;2546,02;2582,8;2998;
282;1179,88;2570,85;2832,33;3000,87;
283;1188,88;2588,01;2891,83;3000,82;
284;1188,07;2592,86;2785,85;3001,41;
285;1200,28;2605,95;2970,45;3001,7;
286;1174,93;2580,07;2438,79;2990,19;
287;1150,05;2553,43;2154,44;2975,96;
288;1141,59;2546,22;2260,77;2975,97;
289;1134,73;2540,1;2346,35;2978,06;
290;1125,19;2529,57;2353,82;2978,15;
291;1113,16;2514,81;2319,47;2975,88;
292;1105,76;2504,97;2385,2;2978,39;
293;1117,35;2518,92;2744,37;3000,45;
294;1103,89;2501,47;2523,59;2999,34;
295;1096,59;2491,36;2496,24;3002,8;
296;1107,19;2503,93;2776,11;3013,32;
297;1083,95;2473,9;2356,25;3000,79;
298;1063,38;2446,53;2145,29;2987,17;
299;1072,59;2456,73;2507,39;3000,61;
300;1074,14;2457,8;2576,8;3007,8;
301;1080,66;2550,02;2383,12;3012,65;
302;1091,9;2558,93;2684,51;3029,45;
303;1072,5;2530,44;2329,42;3017,22;
304;1079;2535,51;2547,93;3027,78;
305;1056,44;2505,08;2158,26;3008,67;
306;1073,14;2524,85;2583,06;3025,49;
307;1090,22;2546,65;2824,5;3042,38;
308;1071,82;2521,81;2363,8;3027,4;
309;1091,64;2543,38;2749,33;3045,63;
310;1103,18;2554,29;2827,37;3047,26;
311;1109,74;2558,51;2793,49;3048,91;
312;1098,29;2539,6;2464,03;3040,61;
313;1116,2;2557,19;2769,92;3051,38;
314;1094,15;2523,82;2270,6;3032,06;
315;1112,08;2540,31;2654,05;3049,5;
316;1095,1;2512,62;2282,19;3033,87;
317;1084,64;2492,17;2179,93;3022,26;
318;1108,24;2514,66;2698,3;3044,07;
319;1127,55;2532,85;2928,36;3059,78;
320;1120,06;2517,61;2625;3056,5;
321;1099,41;2485,59;2230,42;3038,28;
322;1110,95;2494,1;2548,57;3049,86;
323;1118,06;2498,17;2651,7;3058,54;
324;1098,6;2469,42;2256,46;3040,6;
325;1093,65;2458,98;2274,75;3034,51;
326;1096,31;2458,55;2416,41;3035,91;
327;1116,2;2480,97;2793,84;3055,77;
328;1124,56;2490,5;2820,18;3066,78;
329;1121,41;2486,44;2651,99;3067,19;
330;1138,12;2508,28;2902,64;3077,42;
331;1143,05;2516,66;2851,09;3080,6;
332;1139,45;2515,15;2679,46;3081,57;
333;1157,23;2541,52;2944,16;3086,61;
334;1137,83;2521,51;2473,51;3072,16;
335;1153,15;2545,22;2797,14;3090,22;
336;1129,5;2520,01;2323,2;3070,94;
337;1130,06;2524,66;2463,71;3073,07;
338;1109,08;2501,71;2178,18;3053,89;
339;1123,31;2522,8;2607,9;3068,09;
340;1128,39;2532,5;2707,88;3076,07;
341;1127,94;2535,2;2678,57;3079,52;
342;1142,37;2556,45;2926,59;3098,73;
343;1150,53;2570,13;2969,29;3100,81;
344;1133,58;2551,73;2575,08;3090,95;
345;1131,94;2552,02;2600,16;3093,66;
346;1147,49;2573,88;2901,86;3105,91;
347;1127,22;2550,18;2469,53;3091,56;
348;1113,76;2533,83;2333,23;3081,15;
349;1102,1;2518,61;2279,25;3070,92;
350;1110,29;2527,69;2581,96;3079,83;
351;1113,78;2530,81;2673,3;3085,51;
352;1106,42;2519,93;2543,59;3080,79;
353;1090,01;2496,66;2319,89;3066,11;
354;1087,35;2490,1;2415,88;3063,02;
355;1095,52;2497,38;2643,54;3070,47;
356;1077,52;2471,8;2321,35;3052,13;
357;1074,72;2464,97;2386,5;3046,33;
358;1077,26;2464,97;2507,59;3045,64;
359;1096,04;2486,13;2849,5;3061,88;
360;1102,34;2492,6;2833,69;3067,9;
361;1103,34;2492,98;2736,66;3068,9;
362;1097,72;2485,22;2570,33;3062,81;
363;1092,34;2478,03;2469,14;3055,26;
364;1096,02;2482,73;2552,67;3055,24;
365;1098,83;2486,96;2577,63;3054,12;
366;1120,09;2515,09;2907,68;3071,97;
367;1136,1;2537,52;3019,61;3087,48;
368;1144,66;2551,11;2698,49;3097,4;
369;1144,27;2553,66;2666,75;3098,93;
370;1157,2;2573,26;2867,18;3113,36;
371;1152,47;2570,79;2680,75;3111,21;
372;1159,35;2582,81;2769,21;3119,66;
373;1135,69;2555,63;2305,16;3097,84;
374;1134,79;2555,92;2425,79;3095,88;
375;1130,3;2551;2434,69;3090,75;
376;1123,96;2543;2410,3;3083,65;
377;1111,24;2525,94;2292,83;3069,91;
378;1127,58;2545,02;2720,32;3084,78;
379;1125,94;2541,3;2671,03;3084,85;
380;1124,48;2537,54;2650,02;3085,26;
381;1121,11;2531,09;2607,41;3083,81;
382;1098,93;2500,35;2260,99;3062,78;
383;1103,43;2502,78;2504,47;3065,7;
384;1094,92;2489,06;2411,17;3056;
385;1076,11;2461,88;2178,47;3034,8;
386;1058,64;2435,76;2057,37;3012,43;
387;1070,79;2447,05;2478,61;3018,13;
388;1082,85;2459,19;2716,35;3026,01;
389;1078,05;2450,96;2565,94;3018,27;
390;1087,8;2461,65;2727,75;3024,39;
391;1089,02;2462,47;2675,23;3022,88;
392;1077,73;2448,15;2425,8;3007,85;
393;1075,46;2445,78;2418,21;2999,08;
394;1061,26;2428,8;2197,96;2976,89;
395;1071,59;2443,07;2477,79;2977,15;
396;1073,45;2447,53;2488,17;2969,91;
397;1090,69;2472,08;2757,83;2978,46;
398;1085,62;2469,1;2541,02;2966,63;
399;1073,36;2456,99;2293,82;2946,2;
400;1079,28;2467,86;2452,77;2941,96;
401;1088,21;2483,19;2584,86;2940,99;
402;1100,48;2503,26;2717,79;2944,31;
403;1105,55;2514,58;2676,71;2941,65;
