Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
138;1095,48;2806,72;2469,18;2981,51;
139;1099,82;2812,26;2498,74;2999,25;
140;1063,06;2765,28;2248,17;2848,9;
141;1208,56;2951,29;3240,2;3444,12;
142;1175,06;2860,44;3011,74;3307,04;
143;1125,61;2791,47;2674,63;3104,78;
144;1082,95;2790,7;2383,73;2930,24;
145;1023,57;2714,79;1978,85;2687,31;
146;1053,6;2753,18;2183,62;2810,17;
147;1127,26;2847,35;2685,86;3111,52;
148;1044,29;2741,28;2120,15;2772,09;
149;1046,11;2743,6;2132,54;2779,52;
150;1233;3360,2;2781,84;3394,1;
151;1025,49;2717,24;1991,96;2695,18;
152;1022,52;2713,45;1971,75;2683,05;
153;1008,97;2696,13;1879,37;2627,62;
154;1183,3;2918,99;3067,95;3340,77;
155;1131,98;2853,38;2718,04;3130,83;
156;1027,59;2719,92;2006,26;2703,76;
157;994,847;2678,07;1783,05;2569,83;
158;1066,8;2770,06;2273,67;2864,2;
159;1082,73;2790,43;2382,28;2929,37;
160;1072,51;2777,36;2312,57;2887,54;
161;1058,91;2759,97;2219,82;2831,89;
162;1016,13;2705,28;1928,17;2656,9;
163;1193,31;2931,79;3136,22;3381,73;
164;1116,41;2833,48;2611,87;3067,12;
165;1145,83;2871,08;2812,45;3187,47;
166;1003,11;2688,63;1839,37;2603,62;
167;1006,2;2692,59;1860,46;2616,28;
168;1011,96;2699,95;1899,75;2639,85;
169;1205,8;2947,75;3221,34;3432,8;
170;1026,41;2718,42;1998,24;2698,94;
171;1076,14;2782;2337,33;2902,4;
172;1019,18;2709,18;1948,98;2669,39;
173;1064,97;2767,72;2261,15;2856,69;
174;1049,72;2748,22;2157,17;2794,3;
175;1075,85;2781,62;2335,31;2901,19;
176;1101,95;2814,99;2513,28;3007,97;
177;1009,44;2696,73;1882,56;2629,53;
178;1158,63;2887,46;2899,77;3239,86;
179;1197,5;2937,15;3164,79;3398,88;
180;999,222;2683,66;1812,88;2587,73;
181;998,81;2683,14;1810,07;2586,04;
182;1057,84;2758,6;2212,51;2827,51;
183;1195,97;2935,19;3154,33;3392,6;
184;1103,19;2800,87;2521,76;3013,05;
185;1002,76;2688,19;1837,02;2602,21;
186;1123,66;2828,25;2661,3;3096,78;
187;1176,45;2770,17;3021,22;3312,73;
188;1098,49;2761;2489,69;2993,81;
189;1043,46;2740,22;2114,48;2768,69;
190;1167,09;2849,71;2957,46;3274,48;
191;1071,51;2776,08;2305,77;2883,46;
192;1047,28;2745,1;2140,56;2784,34;
193;1093,85;2804,64;2458,08;2974,85;
194;1187,35;2924,17;3095,59;3357,35;
195;1191,7;2929,73;3125,21;2871,62;
196;1200,13;2877,1;3182,67;2723,69;
197;1079,18;2785,88;1058,34;2719,67;
198;1104,07;2817,7;2527,73;2721,38;
199;1061,42;2763,18;2236,96;2704,78;
200;1065,28;2768,11;2263,26;2718,41;
201;1042,34;2738,79;2106,87;2741,36;
202;1114,22;2830,68;2596,95;2725,49;
203;1172,65;2905,38;2995,34;2709,2;
204;1013,78;2702,27;1912,13;2647,28;
205;1000,68;2685,53;1822,85;2593,71;
206;1053,89;2753,55;2185,62;2811,37;
207;1084,2;2792,3;2392,24;2839,77;
208;1184,64;2920,7;3077,07;2734,47;
209;1167,51;2898,81;2960,33;2757,67;
210;1166,41;2897,4;2952,78;2766,38;
211;1007,67;2694,46;1870,46;2622,28;
212;1000,92;2685,83;1824,43;2594,66;
213;1163,16;2893,25;2930,66;3129,1;
214;1119,24;2837,1;2631,18;2794,19;
215;1168,5;2900,07;2967,04;2804,57;
216;1107,17;2821,66;2548,86;2834,73;
217;1155,29;2883,19;2877,01;2842,22;
218;1077,07;2783,19;2343,66;2842,67;
219;1111,94;2827,76;2581,4;2842,92;
220;1191,37;2929,31;3123;2843,24;
221;1133,36;2855,15;2727,48;2842,79;
222;1133,54;2855,38;2728,7;2842,98;
223;1021,21;2711,78;1962,82;2677,69;
224;1097,82;2809,71;2485,12;2991,07;
225;1005,14;2691,23;1853,24;2611,95;
226;1114,75;2831,35;2600,54;3060,32;
227;1121,81;2840,38;2648,7;2867,69;
228;1119,45;2837,37;2632,64;2838,84;
229;1160,96;2890,43;2915,62;2844,69;
230;1088,34;2797,59;2420,47;2845,51;
231;994,661;2677,83;1781,78;2569,07;
232;1123,58;2842,65;2660,78;3096,47;
233;1011,36;2699,18;1895,62;2637,37;
234;1110,75;2826,24;2573,27;3043,96;
235;1048,16;2746,23;2146,53;2787,92;
236;1145,48;2870,64;2810,09;2958,49;
237;1186,47;2923,05;3089,58;2862,28;
238;1203,48;2944,79;3205,57;2866,73;
239;1154,89;2882,67;2874,23;2871,29;
240;1180,44;2915,34;1487,38;2875,64;
241;1012,07;2700,09;1900,49;2640,29;
242;1063,25;2765,52;2249,46;2849,68;
243;1088,69;2798,05;2422,91;2953,75;
244;1137,68;2860,68;2756,94;3098,37;
245;1132,56;2854,13;2722;2886,16;
246;1139,27;2862,71;2767,77;2896,35;
247;1073,86;2779,08;2321,76;2887,81;
248;1031,75;2725,25;2034,69;2720,81;
249;1113,15;2829,31;2589,67;3053,8;
250;1126,64;2846,55;2681,62;2938,78;
251;1164,63;2895,12;2940,63;2910,1;
252;1018,71;2708,58;1945,75;2667,45;
253;1017,18;2706,62;1935,32;2661,19;
254;991,43;2673,7;1759,75;2555,85;
255;1006,55;2693,04;1862,87;2617,72;
256;1183,85;2919,7;3071,72;3343,03;
257;1000,93;2685,85;1824,52;2594,71;
258;1038,37;2733,71;2079,79;2747,88;
259;1053,19;2752,65;2180,82;2808,49;
260;1000,4;2685,17;1820,89;2592,54;
261;1157,06;2885,44;2889,02;3233,41;
262;1054,55;2754,4;2190,13;2814,08;
263;1202,73;2943,83;3200,43;3420,26;
264;1015,1;2703,97;1921,15;2652,69;
265;1028,23;2720,75;2010,65;2706,39;
266;1072,17;2776,93;2310,27;2886,16;
267;1184,94;2921,09;3079,15;3347,49;
268;1157,8;2886,39;2894,07;3236,44;
269;1097,69;2809,55;2484,26;2990,56;
270;1158,45;2887,23;2898,54;3239,12;
271;1170,69;2902,87;2981,98;3289,19;
272;1106,52;2716,87;2544,45;3026,67;
273;1084;2690,45;2390,89;2934,53;
274;1189,48;2732,42;3110,1;3124,34;
275;1173,94;2765,58;3004,14;2944,45;
276;1154,49;2781,34;2871,52;2928,02;
277;1159,41;2814,49;2321,74;2913,74;
278;1053,01;2752,43;2179,63;2807,78;
279;993,531;2676,39;1774,08;2564,45;
280;1185,31;2921,56;3081,66;3348,99;
281;1185,34;2921,6;3081,86;2950,52;
282;1166,19;2897,12;2951,32;2888,64;
283;1126,38;2846,23;2679,88;2902,89;
284;1196,07;2894,22;3155,04;2896,94;
285;1017,78;2707,39;1907,13;2663,64;
286;1007,61;2694,39;1870,1;2622,06;
287;1080,51;2787,58;2367,1;2920,26;
288;1090,02;2799,74;2431,94;2959,16;
289;1079,65;2786,49;2361,28;2916,77;
290;1068,48;2772,21;2285,11;2871,07;
291;1092,8;2803,3;2450,93;2970,56;
292;1188,52;2925,66;3103,54;3362,13;
293;1071,08;2775,52;2302,8;2881,68;
294;1095,44;2806,67;2468,9;2981,34;
295;1181,54;2916,75;3055,98;3125,78;
296;1017,34;2706,82;1936,38;2661,83;
