Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
138;1095,48;2494,86;2469,18;2981,51;
139;1099,82;2499,79;2498,74;2999,25;
140;1063,06;2458,03;2248,17;2848,9;
141;1208,56;2623,37;3240,2;3444,12;
142;1175,06;2542,62;3011,74;3307,04;
143;1125,61;2481,31;2674,63;3104,78;
144;1082,95;2480,62;2383,73;2930,24;
145;1023,57;2413,14;1978,85;2687,31;
146;1053,6;2447,27;2183,62;2810,17;
147;1127,26;2530,98;2685,86;3111,52;
148;1044,29;2436,69;2120,15;2772,09;
149;1046,11;2438,76;2132,54;2779,52;
150;1233;2986,84;2781,84;3394,1;
151;1025,49;2415,33;1991,96;2695,18;
152;1022,52;2411,96;1971,75;2683,05;
153;1008,97;2396,56;1879,37;2627,62;
154;1183,3;2594,66;3067,95;3340,77;
155;1131,98;2536,34;2718,04;3130,83;
156;1027,59;2417,71;2006,26;2703,76;
157;994,847;2380,51;1783,05;2569,83;
158;1066,8;2462,28;2273,67;2864,2;
159;1082,73;2480,38;2382,28;2929,37;
160;1072,51;2468,76;2312,57;2887,54;
161;1058,91;2453,3;2219,82;2831,89;
162;1016,13;2404,7;1928,17;2656,9;
163;1193,31;2606,04;3136,22;3381,73;
164;1116,41;2518,65;2611,87;3067,12;
165;1145,83;2552,07;2812,45;3187,47;
166;1003,11;2389,89;1839,37;2603,62;
167;1006,2;2393,41;1860,46;2616,28;
168;1011,96;2399,96;1899,75;2639,85;
169;1205,8;2620,22;3221,34;3432,8;
170;1026,41;2416,37;1998,24;2698,94;
171;1076,14;2472,89;2337,33;2902,4;
172;1019,18;2408,16;1948,98;2669,39;
173;1064,97;2460,19;2261,15;2856,69;
174;1049,72;2442,86;2157,17;2794,3;
175;1075,85;2472,55;2335,31;2901,19;
176;1101,95;2502,21;2513,28;3007,97;
177;1009,44;2397,09;1882,56;2629,53;
178;1158,63;2566,63;2899,77;3239,86;
179;1197,5;2610,8;3164,79;3398,88;
180;999,222;2385,48;1812,88;2587,73;
181;998,81;2385,01;1810,07;2586,04;
182;1057,84;2452,09;2212,51;2827,51;
183;1195,97;2609,05;3154,33;3392,6;
184;1103,19;2489,66;2521,76;3013,05;
185;1002,76;2389,5;1837,02;2602,21;
186;1123,66;2514;2661,3;3096,78;
187;1176,45;2462,38;3021,22;3312,73;
188;1098,49;2454,22;2489,69;2993,81;
189;1043,46;2435,75;2114,48;2768,69;
190;1167,09;2533,08;2957,46;3274,48;
191;1071,51;2467,63;2305,77;2883,46;
192;1047,28;2440,09;2140,56;2784,34;
193;1093,85;2493,01;2458,08;2974,85;
194;1187,35;2599,26;3095,59;3357,35;
195;1191,7;2604,2;3125,21;2871,62;
196;1200,13;2557,42;3182,67;2723,69;
197;1079,18;2476,34;1058,34;2719,67;
198;1104,07;2504,62;2527,73;2721,38;
199;1061,42;2456,16;2236,96;2704,78;
200;1065,28;2460,54;2263,26;2718,41;
201;1042,34;2434,48;2106,87;2741,36;
202;1114,22;2516,16;2596,95;2725,49;
203;1172,65;2582,56;2995,34;2709,2;
204;1013,78;2402,02;1912,13;2647,28;
205;1000,68;2387,14;1822,85;2593,71;
206;1053,89;2447,6;2185,62;2811,37;
207;1084,2;2482,04;2392,24;2839,77;
208;1184,64;2596,18;3077,07;2734,47;
209;1167,51;2576,72;2960,33;2757,67;
210;1166,41;2575,46;2952,78;2766,38;
211;1007,67;2395,08;1870,46;2622,28;
212;1000,92;2387,41;1824,43;2594,66;
213;1163,16;2571,78;2930,66;3129,1;
214;1119,24;2521,86;2631,18;2794,19;
215;1168,5;2577,84;2967,04;2804,57;
216;1107,17;2508,14;2548,86;2834,73;
217;1155,29;2562,83;2877,01;2842,22;
218;1077,07;2473,94;2343,66;2842,67;
219;1111,94;2513,57;2581,4;2842,92;
220;1191,37;2603,83;3123;2843,24;
221;1133,36;2537,91;2727,48;2842,79;
222;1133,54;2538,12;2728,7;2842,98;
223;1021,21;2410,47;1962,82;2677,69;
224;1097,82;2497,52;2485,12;2991,07;
225;1005,14;2392,21;1853,24;2611,95;
226;1114,75;2516,76;2600,54;3060,32;
227;1121,81;2524,78;2648,7;2867,69;
228;1119,45;2522,11;2632,64;2838,84;
229;1160,96;2569,27;2915,62;2844,69;
230;1088,34;2486,75;2420,47;2845,51;
231;994,661;2380,3;1781,78;2569,07;
232;1123,58;2526,8;2660,78;3096,47;
233;1011,36;2399,27;1895,62;2637,37;
234;1110,75;2512,21;2573,27;3043,96;
235;1048,16;2441,09;2146,53;2787,92;
236;1145,48;2551,68;2810,09;2958,49;
237;1186,47;2598,26;3089,58;2862,28;
238;1203,48;2617,59;3205,57;2866,73;
239;1154,89;2562,37;2874,23;2871,29;
240;1180,44;2591,41;1487,38;2875,64;
241;1012,07;2400,08;1900,49;2640,29;
242;1063,25;2458,24;2249,46;2849,68;
243;1088,69;2487,15;2422,91;2953,75;
244;1137,68;2542,82;2756,94;3098,37;
245;1132,56;2537;2722;2886,16;
246;1139,27;2544,63;2767,77;2896,35;
247;1073,86;2470,29;2321,76;2887,81;
248;1031,75;2422,45;2034,69;2720,81;
249;1113,15;2514,94;2589,67;3053,8;
250;1126,64;2530,27;2681,62;2938,78;
251;1164,63;2573,44;2940,63;2910,1;
252;1018,71;2407,63;1945,75;2667,45;
253;1017,18;2405,89;1935,32;2661,19;
254;991,43;2376,63;1759,75;2555,85;
255;1006,55;2393,81;1862,87;2617,72;
256;1183,85;2595,29;3071,72;3343,03;
257;1000,93;2387,42;1824,52;2594,71;
258;1038,37;2429,97;2079,79;2747,88;
259;1053,19;2446,8;2180,82;2808,49;
260;1000,4;2386,82;1820,89;2592,54;
261;1157,06;2564,84;2889,02;3233,41;
262;1054,55;2448,35;2190,13;2814,08;
263;1202,73;2616,74;3200,43;3420,26;
264;1015,1;2403,53;1921,15;2652,69;
265;1028,23;2418,44;2010,65;2706,39;
266;1072,17;2468,38;2310,27;2886,16;
267;1184,94;2596,53;3079,15;3347,49;
268;1157,8;2565,68;2894,07;3236,44;
269;1097,69;2497,38;2484,26;2990,56;
270;1158,45;2566,42;2898,54;3239,12;
271;1170,69;2580,33;2981,98;3289,19;
272;1106,52;2415;2544,45;3026,67;
273;1084;2391,51;2390,89;2934,53;
274;1189,48;2428,81;3110,1;3124,34;
275;1173,94;2458,29;3004,14;2944,45;
276;1154,49;2472,3;2871,52;2928,02;
277;1159,41;2501,77;2321,74;2913,74;
278;1053,01;2446,6;2179,63;2807,78;
279;993,531;2379,01;1774,08;2564,45;
280;1185,31;2596,94;3081,66;3348,99;
281;1185,34;2596,98;3081,86;2950,52;
282;1166,19;2575,22;2951,32;2888,64;
283;1126,38;2529,98;2679,88;2902,89;
284;1196,07;2572,64;3155,04;2896,94;
285;1017,78;2406,57;1907,13;2663,64;
286;1007,61;2395,02;1870,1;2622,06;
287;1080,51;2477,85;2367,1;2920,26;
288;1090,02;2488,66;2431,94;2959,16;
289;1079,65;2476,88;2361,28;2916,77;
290;1068,48;2464,19;2285,11;2871,07;
291;1092,8;2491,82;2450,93;2970,56;
292;1188,52;2600,59;3103,54;3362,13;
293;1071,08;2467,13;2302,8;2881,68;
294;1095,44;2494,82;2468,9;2981,34;
295;1181,54;2592,66;3055,98;3125,78;
296;1017,34;2406,06;1936,38;2661,83;
297;1017,04;2405,72;1934,34;2660,6;
