Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
155;-0,871265;-289,96;0;-171,481;
156;1,99108;-288,05;0;-153,014;
157;-8,42012;-320,092;0;-174,952;
158;-20,4188;-353,238;0;-210,673;
159;-23,6237;-369,813;0;-217,26;
160;-23,5047;-379,121;0;-216,838;
161;-26,2839;-392,516;0;-220,201;
162;-31,0395;-408,391;0;-228,001;
163;-38,5348;-427,739;0;-255,124;
164;-26,2189;-411,614;0;-211,037;
165;-21,1181;-406,147;0;-198,77;
166;-12,9498;-393,818;0;-173,988;
167;-18,7505;-403,667;0;-205,886;
168;-23,6721;-410,345;0;-235,37;
169;-26,611;-411,81;0;-262,825;
170;-12,435;-383,065;0;-209,661;
171;-16,7209;-384,696;0;-228,56;
172;-17,1422;-378,98;0;-228,837;
173;-21,4554;-378,774;0;-250,766;
174;-19,6929;-367,227;0;-252,197;
175;-18,2743;-355,472;0;-257,769;
176;-17,116;-344,407;0;-254,056;
177;-12,3417;-326,989;0;-240,142;
178;-16,9224;-325,676;0;-262,481;
179;-5,5198;-297,189;0;-221,496;
180;9,79167;-262,442;0;-163,728;
181;5,56237;-261,549;0;-186,53;
182;0,970752;-262,125;0;-208,774;
183;1,47954;-255,091;0;-205,888;
184;16,9146;-223,449;0;-144,645;
185;21,07;-214,626;0;-123,088;
186;12,5756;-227,1;0;-142,908;
187;17,7445;-219,356;0;-114,213;
188;29,5443;-218,133;0;-62,0217;
189;33,5411;-219,4;0;-39,8201;
190;29,2562;-229,961;0;-38,2943;
191;36,6591;-228,061;0;11,7276;
192;35,8886;-234,572;0;24,073;
193;31,5546;-247,918;0;26,9365;
194;29,8062;-253,977;0;50,4269;
195;37,0741;-244,383;0;112,838;
196;45,5299;-233,613;0;127,631;
197;53,0443;-232,481;0;128,033;
198;48,8003;-243,455;0;127,862;
199;47,814;-249,018;0;129,522;
200;42,3336;-262,301;0;128,159;
201;35,2202;-278,691;0;125,864;
202;23,9659;-302,456;0;127,451;
203;18,084;-315,487;0;129,08;
204;18,8614;-317,069;0;129,533;
205;3,99185;-345,166;0;121,383;
206;-11,1223;-373,24;0;107,178;
207;-20,0316;-390,189;0;116,023;
208;-24,602;-398,958;0;126,553;
209;-19,2939;-390,238;0;124,233;
210;-16,8816;-385,992;0;123,362;
211;-12,3649;-377,038;0;123,55;
212;-21,391;-389,88;0;106,968;
213;-29,9889;-400,862;0;87,09;
214;-21,9076;-382,432;0;120,581;
215;-19,7724;-373,675;0;119,543;
216;-13,7178;-357,874;0;116,527;
217;-14,6281;-353,694;0;115,778;
218;-8,30613;-336,425;0;115,733;
219;-7,55562;-327,937;0;115,708;
220;-4,59049;-315,757;0;115,676;
221;6,01724;-290,705;0;115,721;
222;9,5554;-278,228;0;115,702;
223;13,2021;-265,993;0;115,58;
224;4,74419;-275,093;0;98,8867;
225;4,68713;-270,404;0;113,562;
226;-4,75728;-282,519;0;90,663;
227;-4,9853;-280,169;0;113,231;
228;-4,954;-278,516;0;116,116;
229;-5,59038;-279,166;0;115,531;
230;-0,248291;-270,322;0;115,449;
231;-2,06891;-274,586;0;115,267;
232;-11,3228;-291,987;0;87,2292;
233;-8,14036;-288,988;0;112,45;
234;-16,6817;-306,721;0;92,4733;
235;-15,6387;-308,754;0;111,261;
236;-21,9556;-324,02;0;104,151;
237;-18,0755;-322,229;0;113,772;
238;-7,81445;-309,356;0;113,327;
239;3,57982;-294,73;0;112,871;
240;11,8409;-285,091;0;112,436;
241;22,222;-271,737;0;112,021;
242;16,6481;-285,135;0;87,6748;
243;15,0782;-291,526;0;83,8935;
244;14,2633;-296,58;0;90,1634;
245;16,3711;-296,721;0;111,384;
246;17,1292;-299,06;0;110,365;
247;17,2125;-302,585;0;111,219;
248;12,8372;-313,067;0;109,903;
249;5,00565;-328,932;0;91,4881;
250;5,43981;-330,272;0;106,122;
251;6,35974;-330,519;0;108,99;
252;10,4487;-325,056;0;108,736;
253;-0,707227;-345,264;0;85,3577;
254;-11,2322;-363,757;0;59,9419;
255;-22,7753;-383,13;0;24,8195;
256;-33,032;-399,763;0;-5,2626;
257;-26,018;-386,522;0;37,2831;
258;-38,4417;-406,188;0;4,27153;
259;-45,2012;-415,423;0;-13,6798;
260;-48,6893;-418,227;0;-25,8331;
261;-55,2988;-425,362;0;-59,8525;
262;-44,5883;-402,06;0;-30,0613;
263;-46,1455;-399,544;0;-41,2874;
264;-30,9808;-367,803;0;8,04937;
265;-33,5557;-365,715;0;-19,9242;
266;-34,1606;-359,819;0;-43,8084;
267;-28,7197;-343,066;0;-49,9767;
268;-13,6817;-310,193;0;-10,3067;
269;-0,866223;-281,195;0;18,0175;
270;3,39987;-267,601;0;22,3655;
271;15,1602;-241,532;0;50,579;
272;29,0678;-212,25;0;83,3592;
273;36,4303;-208,727;0;89,599;
274;39,0741;-214,322;0;87,5658;
275;50,5351;-218,744;0;105,555;
276;60,003;-220,845;0;107,198;
277;65,874;-225,265;0;108,626;
278;70,4356;-230,052;0;106,506;
279;63,9216;-242,242;0;95,3036;
280;51,414;-263,186;0;60,6066;
281;55,8852;-251,425;0;104,948;
282;58,6818;-240,507;0;111,136;
283;58,4216;-233,942;0;109,711;
284;53,0504;-235,895;0;110,306;
285;55,7812;-230,832;0;107,896;
286;42,9089;-247,537;0;83,4572;
287;27,2157;-270,188;0;55,9682;
288;17,2784;-284,138;0;58,5724;
289;7,39197;-299,04;0;63,05;
290;-3,44918;-316,438;0;61,7294;
291;-16,6285;-337,703;0;55,446;
292;-24,8416;-350,94;0;57,4737;
293;-20,9948;-343,866;0;96,7107;
